cik,industry,source_sector,ticker,company
1001316,biotech,Drugs (Biotechnology),NasdaqCM:TGTX,"TG Therapeutics, Inc. (NasdaqCM:TGTX)"
1006281,biotech,Drugs (Biotechnology),NYSEAM:PLX,"Protalix BioTherapeutics, Inc. (NYSEAM:PLX)"
1022899,biotech,Drugs (Biotechnology),NasdaqCM:PTIX,"Protagenic Therapeutics, Inc. (NasdaqCM:PTIX)"
1029142,biotech,Drugs (Biotechnology),NasdaqGS:DVAX,Dynavax Technologies Corporation (NasdaqGS:DVAX)
1034842,biotech,Drugs (Biotechnology),NasdaqGS:RIGL,"Rigel Pharmaceuticals, Inc. (NasdaqGS:RIGL)"
1042418,biotech,Drugs (Biotechnology),OTCPK:INTI,"Inhibitor Therapeutics, Inc. (OTCPK:INTI)"
1048477,biotech,Drugs (Biotechnology),NasdaqGS:BMRN,BioMarin Pharmaceutical Inc. (NasdaqGS:BMRN)
1053691,biotech,Drugs (Biotechnology),NasdaqCM:CRVO,CervoMed Inc. (NasdaqCM:CRVO)
1055726,biotech,Drugs (Biotechnology),NasdaqCM:INO,"Inovio Pharmaceuticals, Inc. (NasdaqCM:INO)"
1061983,biotech,Drugs (Biotechnology),NasdaqGS:CYTK,"Cytokinetics, Incorporated (NasdaqGS:CYTK)"
1070081,biotech,Drugs (Biotechnology),NasdaqGS:PTCT,"PTC Therapeutics, Inc. (NasdaqGS:PTCT)"
1070494,biotech,Drugs (Biotechnology),NasdaqGS:ACAD,ACADIA Pharmaceuticals Inc. (NasdaqGS:ACAD)
1072379,biotech,Drugs (Biotechnology),OTCPK:NWBO,"Northwest Biotherapeutics, Inc. (OTCPK:NWBO)"
1082554,biotech,Drugs (Biotechnology),NasdaqGS:UTHR,United Therapeutics Corporation (NasdaqGS:UTHR)
1091326,biotech,Drugs (Biotechnology),OTCPK:VGLS,VG Life Sciences Inc. (OTCPK:VGLS)
1091596,biotech,Drugs (Biotechnology),OTCPK:AURX,"Nuo Therapeutics, Inc. (OTCPK:AURX)"
1094038,biotech,Drugs (Biotechnology),NasdaqCM:MRKR,"Marker Therapeutics, Inc. (NasdaqCM:MRKR)"
1095981,biotech,Drugs (Biotechnology),NasdaqCM:PSTV,"Plus Therapeutics, Inc. (NasdaqCM:PSTV)"
1098009,biotech,Drugs (Biotechnology),OTCPK:AAGH,America Great Health (OTCPK:AAGH)
1098972,biotech,Drugs (Biotechnology),NasdaqCM:AGEN,Agenus Inc. (NasdaqCM:AGEN)
1104506,biotech,Drugs (Biotechnology),NasdaqGS:INSM,Insmed Incorporated (NasdaqGS:INSM)
1107421,biotech,Drugs (Biotechnology),NasdaqCM:TCRT,"Alaunos Therapeutics, Inc. (NasdaqCM:TCRT)"
1108205,biotech,Drugs (Biotechnology),NasdaqCM:CRIS,"Curis, Inc. (NasdaqCM:CRIS)"
1119643,biotech,Drugs (Biotechnology),OTCPK:NPHC,Nutra Pharma Corp. (OTCPK:NPHC)
1124105,biotech,Drugs (Biotechnology),NasdaqCM:GYRE,"Gyre Therapeutics, Inc. (NasdaqCM:GYRE)"
1124140,biotech,Drugs (Biotechnology),NasdaqCM:EXAS,Exact Sciences Corporation (NasdaqCM:EXAS)
1125345,biotech,Drugs (Biotechnology),NasdaqGS:MGNX,"MacroGenics, Inc. (NasdaqGS:MGNX)"
1128189,biotech,Drugs (Biotechnology),OTCPK:PKTX,"ProtoKinetix, Incorporated (OTCPK:PKTX)"
1133416,biotech,Drugs (Biotechnology),NasdaqCM:GALT,Galectin Therapeutics Inc. (NasdaqCM:GALT)
